,year,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
10,2000,10010.973259006,3839.851355585,2711.016980237,2743.626577073,1238.345326686,951.470324168,13.732886724,30.843161594,130.658665866,135.232056435,28.450024047,58.475374823,79.433164053,3.84667292,28.324110536,31.561131174,30.487064609,272.468581443,228.023587681,26.387621179,1260.499227288,78.574002535,977.6358640029999,76.436364731,54.860979204,2882.339352636,2037.607368773,375.148613091,1662.458755682,844.731983863,82.888336068,147.964709136,8.58142928,72.330229096,229.30073797,215.780297948,2183.389559918,1123.70779313,350.790808152,237.490929976,106.600283673,77.11834581,36.376631654,11.792914921,43.950581939,253.772368479,233.545570527,14.500463562,867.771584887,142.20824072,53.090620037,197.933005778,143.527402652,1324.855839112,253.653091639,114.228495547,475.825620513,153.879616143
11,2001,10167.727622247,3881.225211228,2724.475633545,2836.013602586,1235.146319595,950.782548024,13.323356669,31.546304817,132.015244269,134.601238134,27.09586117,61.280598217,80.10592344499999,4.097106615,27.759905861,33.481223445,33.865131142,262.367304852,226.836572679,24.547181268,1301.544236859,83.998178362,1007.862994437,76.314298542,55.517558088,2916.462935038,2063.191259267,379.354628361,1683.836630906,853.271675771,85.220441937,151.974067246,9.079401668000001,72.099328496,233.717491257,212.058167738,2251.885471848,1176.292127885,358.245395405,241.75189745,105.204725854,78.259747265,37.255591663,11.235837569,43.124112401,268.845424713,249.170322913,14.560796668,879.0386616960001,136.764178755,57.020267208,207.781400072,141.639017613,1314.804572499,248.356366405,111.913615656,464.004367089,155.156841639
12,2002,10254.200740179,3873.302774063,2698.960413039,2948.425763351,1245.2770885,952.2970324040001,13.496157455,31.76072908,134.085776918,134.399324957,28.531904206,61.281583233,80.02287627700001,3.6432016,29.30475633,31.652386109,31.783620486,259.328394415,235.539188498,24.287632865,1351.700167907,91.260624195,1045.920419417,76.745550955,56.360749662,2906.870960562,2042.823726943,386.774477404,1656.049249539,864.0472336189999,82.875938825,167.748148975,9.075235364000001,68.341973434,238.968423123,203.32846275,2328.531634556,1226.935300189,368.49669147,248.070312969,99.79128560000001,81.361790396,37.661222713,12.154630856,45.976577708,273.494612989,254.063669858,14.828953028,887.4361498679999,143.124483391,59.007955202,192.207354079,139.325203301,1260.890125796,253.974311997,100.740366716,434.739794797,148.262275862
13,2003,10673.022076936,3851.58954743,2658.702220114,3201.968440351,1237.706639415,944.2597570250001,13.696253489,33.809827407,135.754222122,135.10585373,30.189121817,59.043056739,79.671915626,4.336858739999999,29.442286955,32.934835063,30.896515212,247.441224595,235.14473153,24.375507,1440.592057698,101.983025968,1119.092869477,75.620970808,56.595484795,2911.06227787,2023.105841647,388.527333332,1634.578508314,887.9564362230001,86.11588632600001,178.729296058,8.563597727000001,73.425365959,258.281562152,178.836554723,2504.924443754,1375.185474093,381.261984778,254.775726901,87.10595620299999,84.643427807,41.056479832,12.143709903,49.323605067,270.420746936,252.412210764,13.520509203,948.0240017059999,155.297537821,62.06461121,215.623454953,147.698815944,1360.291909557,281.14783262,120.892475112,506.43374039,162.298210923
14,2004,11186.397477936,3885.500608922,2674.349201174,3433.333813471,1226.377722677,939.207655939,13.747161237,34.800980244,136.939453309,137.28874572,29.442002141,68.233072145,78.683370445,3.891627325,28.36628305,32.790163413,34.299601351,225.55368034399999,229.038542208,24.085645045,1509.950959106,114.697086127,1171.963329225,78.26240601,57.80082438,2995.334443499,2046.694845829,400.7717503860001,1645.923095443,948.6395976690001,86.362673951,182.937977393,8.553634749,75.31781871000001,264.157120253,218.220266805,2726.113340481,1534.24456986,392.941430449,264.749516609,98.43047383000001,91.978787509,42.15163949,12.485012701,51.269928091,271.882720421,254.187811409,13.480271879,1004.73959691,157.872808612,62.31984794,229.515278428,151.246506544,1451.998694843,292.670779803,131.471840132,542.5881501260001,170.062974069
15,2005,11531.736920688,3861.277154063,2648.368132512,3621.493949796,1191.34564072,911.148346989,13.90603692,33.20121738300001,137.108631098,137.384152054,30.523839892,62.459432636,78.574735527,3.611121455,27.921958714,30.590036642,34.543492782,205.31625693,224.387446707,23.685389111,1554.778552151,118.644907571,1202.928340859,79.160751472,56.535064001,3007.793535919,2034.06676089,402.315893416,1631.750867474,973.726775029,84.685451374,195.232852145,9.337976145,78.599802857,263.547507246,223.014023552,2917.128742512,1671.423433246,400.714591145,279.623439705,103.968491648,95.810169669,46.637660127,12.485067297,55.192122695,282.849417106,265.157084066,13.083364672,1059.708510582,166.64689497,77.98311547600001,233.543280374,151.1947324,1518.132521699,310.651031847,146.752348607,570.919943877,175.389197496
16,2006,11857.522443023,3884.004397929,2672.142813639,3782.618159905,1168.319167635,891.521799625,13.76958084,33.853392705,136.205692405,139.360596881,30.387618264,61.468919965,77.570837333,4.36309634,27.978272511,31.368195482,32.641243995,186.877502833,215.619815361,26.198679997,1602.06241115,127.864608891,1226.651440362,82.36179392700001,58.201802357,3076.185945613,2074.13485774,419.098284605,1655.036573136,1002.051087873,86.026979884,206.91204065,9.622432027999999,83.601096592,261.910320476,226.326610573,3085.521278084,1792.636852632,405.786482212,313.51616682,105.176545516,93.232237817,47.81758234,12.435965976,57.345617723,288.40776259,269.837740886,13.476217817,1085.104291614,164.921819672,80.975740372,233.202357199,150.631344049,1551.921586337,322.716864264,150.865224688,565.288432883,185.167382378
17,2007,12056.92029648,3875.174203886,2664.971940536,3948.935061515,1145.49413747,866.907831832,14.393156242,33.965332836,134.408137435,136.924080743,31.452214364,60.209800477,72.45600449599999,4.63020862,27.744993847,30.317430406,33.31092471900001,176.185814283,215.467977365,27.473031035,1642.622537748,132.200163479,1238.776540397,84.808527454,59.726964297,3067.517078802,2091.318259016,421.719352069,1669.598906947,976.198819786,83.093480756,217.190197171,9.370687943000002,86.575968901,250.924590622,198.797803551,3228.303001764,1916.580572958,424.798717263,318.14441827,94.683434695,93.003336729,47.104480539,12.759263459,60.4916483,304.828187142,286.121548762,14.342015361,1113.661397346,164.277327216,85.350143685,236.0283725,151.589033726,1554.493956208,337.368588511,146.786308069,546.4828571950001,183.310034155
18,2008,12299.665969287,3889.452834369,2674.518624259,4049.194492436,1153.168961872,864.801717879,13.962895348,33.145383447,136.405368236,133.318424057,33.221600996,67.719319204,71.300283732,4.46357589,29.012427494,30.377155469,32.981569292,167.075408036,221.767053906,28.666583644,1679.371144659,144.459116933,1253.605266241,84.287992327,61.68185488,3093.670985853,2111.552167552,409.30558756,1702.246579991,982.118818301,82.500951108,229.113843214,9.727636029,92.620010586,236.679615449,200.517722419,3314.300433366,1966.945714299,445.331117703,323.154305305,92.94565538100001,96.17989897300001,49.603420643,12.709305875,65.50601382400001,306.479293132,286.78246424,15.193566896,1128.135789485,162.026043876,89.142678173,231.982408761,154.198550979,1624.53936092,337.747185808,153.054702172,572.949095017,185.560279943
19,2009,12190.340323103,3818.642164025,2624.139989478,4109.761354156,1111.537827836,826.796775039,14.777537302,31.660015693,128.720894306,126.983039952,31.949612352,62.983922686,67.416819935,4.91613127,28.385719593,30.413919495,30.096450383,157.948459658,217.34926036,29.602245559,1588.746905638,148.049207279,1190.305682394,79.384221104,56.542425831,3056.935631551,2079.807005897,393.504388301,1686.302617596,977.128625654,81.068216369,231.545003924,10.208236853,98.208332906,224.450104409,199.87354597,3469.041104887,2051.665651726,483.65062833,350.796195651,98.73097731200001,89.625396683,49.390214583,12.838398142,64.627527434,315.222678112,295.289319669,15.547682403,1100.733468229,153.035448885,87.99212440800001,225.346394273,152.594387781,1548.122706851,334.156543286,130.43531667,519.274007771,171.783929851
