,year,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
10,2000,22836.380803279,12752.60733311,9647.745505106,6171.668808214999,4245.856256782,3892.17539562,116.982739899,122.550915634,386.1786410030001,829.723583705,430.626488337,179.493873539,295.893767376,59.710098062,87.330248443,286.46567132,50.997144928,531.5780837919999,33.025685148,202.838853651,2207.531299836,121.816626636,1521.454838504,308.770581852,117.008904502,7552.749411717001,6346.933574558,529.618599681,5817.314974877,1205.815837159,139.479110447,298.472966364,52.747223515,55.178593117,364.444659286,116.906505877,6818.162716701,3145.411772926,910.223530788,272.579044105,1122.705133711,117.98024005,446.530110969,218.733521988,155.444091205,370.517892106,335.841756905,30.158521933,680.219612784,64.218957191,101.695003337,43.990647342,296.105699634,961.343613352,320.029839119,47.075417554,244.152332111,80.31396030900001
11,2001,23193.880056919,12782.197387887,9642.883836909,6366.55046624,4304.174423511,3963.319658142,116.733660559,121.85813329,390.097059887,849.176314842,429.21840145,184.264987235,295.484513063,59.253014618,93.619175101,286.732575185,51.898676578,544.055651076,34.357877391,183.574009991,2196.778919728,113.102984733,1527.890032232,302.416495443,117.400515737,7531.333875651,6319.436014198,523.420079822,5796.015934376001,1211.897861453,129.658758534,304.828865633,50.52071826100001,55.450719701,365.217767101,124.083147843,7026.012205176999,3280.068262782,923.0629065730001,290.6534623700001,1110.900395456,123.585630386,464.093092648,227.682910159,163.711120336,379.307551019,342.09982922,32.013985277,740.961738555,65.730593773,111.677867559,49.657412221,330.70039902,1015.311343277,335.400278138,51.047205122,248.15184708499999,93.015346379
12,2002,23510.895575338,12698.706106785,9520.644494647,6648.148462504,4299.922797531,3946.436782787,111.398124872,117.755672444,383.173461811,836.854616359,437.789186707,186.292635986,288.851859501,63.201145654,93.29646507700001,303.930563151,53.312658849,528.9977300700001,34.019121123,193.666594583,2198.066370366,125.816743639,1510.977907109,301.461530677,122.041687809,7393.569095783,6181.044550858001,530.094493217,5650.950057641,1212.524544925,122.921789638,302.82261692,51.410953183,53.33543680100001,371.100329626,123.396491566,7395.547366618001,3539.047791567,953.4574478840001,296.891140015,1152.784948841,129.836070775,461.840745777,236.748227965,175.311306495,391.80066353,354.08827079,32.088280428,773.244926233,71.665223378,117.153117344,51.355833719,341.842699024,1058.744355277,350.674066486,53.099949201,265.647532932,95.029974717
13,2003,24563.359034385,12915.916985573,9641.866341201001,7308.70686958,4418.090239043,4044.572255037,115.183691758,121.805194432,388.378214918,835.3671900329999,452.959687879,189.427387135,301.162299375,58.733002725,95.890962035,310.293651733,54.642320328,543.4134846579999,36.831448209,205.099241072,2272.842057794,145.067030194,1551.501557786,312.648628175,116.594286982,7498.071384549001,6260.148018147001,551.456546687,5708.69147146,1237.923366402,132.615684762,297.878480621,52.754646861,52.64638603100001,389.6827573420001,123.186762632,8081.921394071,4115.153613567,980.324826441,325.314420096,1161.599745566,135.878217413,464.850502432,248.369373076,184.646969139,392.853733063,353.888971288,32.644564481,807.2879301539999,74.882685415,120.593852304,55.615458429,363.848391166,1092.292295712,365.508803465,54.842868495,276.550644334,99.28491434600001
14,2004,25707.568535972,13042.736617323,9698.348076087,8129.221411122,4431.653235995001,4046.564084372,114.823718162,123.653416465,388.890703474,820.361341377,460.000578076,191.348123485,303.54712109,60.046920834,94.23291526199999,325.793629884,53.026411796,543.528087776,37.194168636,211.549434193,2270.17054131,150.168030406,1549.69563638,302.021821463,114.662587595,7633.035519336,6332.540596483,544.677630418,5787.862966065,1300.494922852,147.686040542,314.748483325,57.539844254,52.84178964,399.377829883,128.199214226,8954.08674018,4843.109047197,1034.597671605,331.891947473,1153.0267689,149.425223704,487.680050962,256.816227529,201.513753852,405.365550541,367.306649847,32.377961528,853.643201402,75.96961382,131.768439409,55.873508558,387.070572615,1159.613747209,394.852454937,57.807851502,293.942535006,105.463164113
15,2005,26624.161460301,13085.880019314,9712.084570642,8799.061271604,4421.410035501,4031.243951155,112.206407619,119.342432619,391.905906555,803.8209956960001,462.213683628,188.14545437,303.65447946,63.18652925,93.12778558900001,339.696221822,50.555448271,542.279525211,36.799934679,219.425636051,2285.979592789,160.953782353,1547.556399456,311.356676862,107.710882227,7704.736380092,6359.665479362,556.3914143779999,5803.274064984001,1345.07090073,150.160163422,318.239158752,58.335707534,54.341429612,415.562293435,138.400175437,9679.644293504,5470.077475963,1084.008644538,335.646796021,1152.198980189,160.028109443,492.739555738,264.150295178,207.753928012,411.613531106,372.699666339,33.024376281,880.6394213169999,80.322666973,149.069853097,58.352644208,379.179592896,1240.138205993,426.968047742,66.205642113,310.513098518,111.924483618
16,2006,27454.33233075,13007.214675454,9573.471022414999,9517.551688653,4464.023581631001,4044.266239975,110.922511065,120.01359749,383.061251806,815.003406379,459.021347601,183.511702575,316.751087991,57.879109468,96.27346710900001,330.717808478,50.572652401,543.236896253,37.24727848800001,244.884523875,2371.981782298,181.719312899,1608.774414662,305.669357064,113.50167894,7627.06641496,6246.956492158,549.184994316,5697.771497842,1380.109922802,160.091513492,322.150665184,60.094242958,54.187697293,429.665575328,134.109430289,10361.609243184,6051.707547929001,1156.015159931,354.060452265,1126.191628219,167.010972724,495.856330614,274.98531864,209.768634341,415.469469052,376.404654074,33.12927333,898.172150687,83.426658273,157.405625609,53.120137436,378.9039009480001,1316.009688939,460.259480523,67.993737404,329.322703143,115.851061564
17,2007,28389.230669305,13175.009635159,9671.481734273,10092.06618808,4433.232559667,3992.046761637,107.228279523,122.908584174,374.262754579,785.301676408,450.98384228,184.024788159,314.3138379660001,56.26324403500001,93.537184098,344.437247753,48.050521349,532.273742423,37.782597205,268.37407798,2376.84146599,193.345069943,1588.824067163,315.107563057,112.125201321,7788.663040801,6364.706156281,580.8958269350001,5783.810329346,1423.95688452,166.636478776,337.167758073,65.750751838,55.088695767,437.060599257,130.10233513,11044.748221507,6513.116581919,1252.565928935,371.799941334,1163.953562301,185.58576957,517.02605432,278.078799494,217.564111885,424.968049456,386.96605027,32.011002631,936.8864889500001,87.429335061,169.483987707,49.118156314,400.39185199,1383.890842934,492.5626927550001,68.268783076,346.433928763,124.789740931
18,2008,28597.337747119,12848.98412946,9382.04322589,10428.561518735,4347.48880738,3904.208308136,109.056639042,117.778015911,367.710032211,794.020248666,439.973397389,183.456889609,311.186519085,54.314965341,92.02709114299999,315.708510174,46.134865082,516.2647650690001,37.261425742,267.134446303,2422.79712361,225.180261303,1603.38030136,303.922913522,117.25536918,7651.014310572001,6162.449694887,559.7164144970001,5602.733280391,1488.564615684,178.131017995,355.3033682,68.33718466100001,55.970752339,438.3072658730001,159.65753414,11276.570969458,6706.680969579,1330.566917284,363.749264816,1101.625087667,196.074903871,530.319174704,265.911180765,223.484433667,429.569435815,390.248877152,33.091792343,997.2941285060001,90.79559256799999,177.487713155,54.050944188,432.629962311,1472.602971779,501.884298347,72.829658881,378.28406874,146.613392319
19,2009,28332.348455442,12109.208483685,8747.146181601,10961.275098678,4044.336196554,3607.285964027,99.538483926,110.047401609,350.734808227,737.6436620180001,393.369696278,178.142672954,299.517170028,53.805272221,78.14601282000001,280.496779635,43.214302775,468.9321522,37.328219051,266.764543463,2225.968621638,199.252717192,1506.345306545,257.460818943,105.298261624,7200.995786895,5743.000394457001,532.3977675990001,5210.602626858,1457.995392438,171.089640003,332.814775866,65.77312233800001,59.366125242,429.045863872,160.754140345,11900.573294456,7217.635864584,1496.121542206,377.26173198,1053.465468421,177.732678063,542.289205409,251.680347736,218.191547424,431.954368411,395.706231707,30.325974157,987.7387648079999,96.749418169,181.85023201,45.800529734,408.357609478,1540.781422679,520.997159111,79.933188084,395.02665597,148.901843482
20,2010,29918.045382418,12615.659438573,9122.185443593,11797.701535391,4175.91259777,3727.307978017,109.173425882,113.669597208,356.582815392,780.863571864,401.963193903,190.7701473,318.012144865,48.46849005,74.715887462,266.968560685,48.477482446,485.183906345,39.17273657,273.520125406,2372.618983513,217.140333361,1609.459801321,276.547590798,102.386234635,7546.100961204,5993.89160595,548.3358912110001,5445.555714739001,1552.209355254,174.546937438,376.95381009,70.261962419,60.802931907,444.902511922,171.711701709,12745.202023196,7799.442791773,1583.124740683,376.450570895,1103.700350139,194.787448511,593.865574829,268.408326377,235.406336508,430.468588694,394.160180935,30.0948791,1040.149812892,97.467960023,183.612152761,56.44351692,428.720391523,1607.592415149,515.166267728,78.84980277700001,435.082839023,155.860998261
21,2011,30699.383839292,12391.518155025,8888.737113184,12642.645273679,4058.039215562,3585.856821113,98.753291782,110.09886498,338.1345095,751.887374332,393.448813244,178.49220771,313.508997485,47.997036445,81.587471133,270.324637975,43.993021916,446.088396776,38.257212131,294.284672354,2484.061737975,231.743853405,1673.732579063,290.784361135,111.99306141,7386.259683551,5798.387243786,560.717236791,5237.670006995,1587.872439765,181.786036134,396.95354093,76.303210972,65.967683456,460.774783271,145.969563937,13643.557779241,8488.977796592999,1669.906082553,401.135771312,1160.790775546,199.844744447,625.594997792,268.52533381,235.016770663,428.044841554,392.629137438,29.378250344,1038.240951114,104.704636731,189.974450527,61.65081188400001,413.075274539,1661.179630296,531.2119540030001,80.10605976800001,451.161839221,160.063331952
22,2012,31184.105702646,12251.565896058,8768.140357975,13073.320838972,4028.628630604,3552.694529647,97.590853884,106.727937735,342.9078803850001,767.787439179,374.843288281,176.75436163,307.616522763,46.50204596,79.138887347,265.469228092,40.628420114,467.770476783,37.544907455,305.930533318,2474.729558556,234.159506592,1653.112981744,285.088002242,115.394642857,7264.314888843001,5610.644005787,562.043426864,5048.600578923,1653.670883056,188.688829423,429.842311783,78.721058837,65.790684586,462.77557029,164.303599703,14155.585781129,8749.861535102,1810.461016423,431.999193834,1204.187267559,203.246802069,630.840814167,259.225713802,252.053726162,428.793412847,390.928582398,31.111826178,1096.475345161,115.158685585,196.364970626,63.37807387,430.04299392,1735.578085505,535.8608643,79.771156773,481.688469774,170.551535177
23,2013,31748.247811174,12269.570920509,8863.662896832,13519.782857443,3933.855016814,3467.188409767,98.720608685,102.635896975,342.569073926,788.5783315680001,343.664687317,175.169932275,304.768046587,45.087839839,69.556406894,238.262495642,39.021082338,455.137850754,37.55593284699999,294.911891573,2417.556520267,251.152778281,1602.683083788,273.960917987,105.049437969,7397.456427401,5723.149163156,570.894595263,5152.254567892001,1674.307264245,183.940675682,461.281531175,82.735833811,75.41369789900001,453.006816289,152.45958286,14659.735964737,9162.773355339,1853.448208834,429.540836397,1210.563790111,222.065759983,628.158138792,262.842189762,263.88042074,422.978375698,384.165437523,31.163028662,1142.075660702,118.169036539,195.594424763,82.74561030699999,439.596678307,1774.589845555,553.8390515,87.70214411900001,488.560368132,178.864741573
24,2014,31811.250851674,12076.441662531,8741.947655332002,13630.519954455,3761.573397212,3287.880466974,92.386151959,100.015347321,310.736357576,749.726737075,328.097806015,168.345901302,291.767761747,44.175882639,69.06132650100001,235.988002693,38.863693617,414.544784893,37.496818029,316.291548775,2348.69938696,236.331918296,1584.354365808,231.133733532,105.798970723,7461.230413214,5767.670800166,574.289145703,5193.381654464,1693.559613048,187.363667107,487.516642943,76.689734948,78.25546149,437.88373302,151.866748785,14787.548518008,9091.102140869001,2015.310197239,468.336202451,1171.171169607,228.897529767,624.2874029559999,266.612826486,259.758211608,414.9523080610001,375.03209774,32.073105179,1187.60819265,127.378320363,198.056515481,91.335840944,452.236607596,1849.63863557,584.6376723660001,83.82390802600001,524.2651720060001,178.759271829
25,2015,31758.861091558,11983.466006488,8569.594913523,13590.705030598,3824.218249841,3330.858914649,96.99425193300002,100.895450134,316.757207154,754.544814503,335.92701131,175.502694508,295.999294304,48.22583303,69.42751534300001,251.683148446,38.419480722,402.523502077,37.769150958,328.990062494,2316.280826167,248.36863851,1592.081797529,191.666083944,93.72749827700001,7307.144586706,5624.479968527001,577.596590571,5046.883377956,1682.664618179,193.200454994,463.019736761,81.492828008,78.049115829,445.433500242,140.781512827,14836.543224366,9082.725234327,2026.263560472,470.350033025,1135.362409952,228.525340902,638.4330923900001,267.067513716,263.778102543,420.638894427,381.045531258,31.682957363,1178.752644595,135.38339118,205.100177114,85.00785243,426.614701507,1875.282665456,579.021049811,93.25005072100001,550.705326874,188.976590193
26,2016,31703.551307405,11914.347913927,8437.824768169,13519.608856287,3833.37166504,3316.511430058,95.851949304,102.334369834,317.774761926,758.9046155899999,333.022500393,175.600968857,306.614226104,47.590624262,67.90295451700001,242.641931985,39.798941004,379.804671906,36.90319094700001,349.258108033,2299.554387719,260.847390412,1571.53627116,192.247612758,82.720679418,7178.781023893,5521.172338446,567.000848588,4954.171489857999,1657.608685447,193.601403844,429.174774579,86.11539135599999,88.195248311,448.661989716,127.569441428,14881.666254036,9040.240878975,2050.269901178,466.102903298,1127.145879909,227.535755706,655.9002988569999,272.177535298,260.12804163,429.821224916,389.90850024,31.23172546,1192.499413315,133.157277571,211.142591015,87.03290330200001,428.387030395,1887.857338487,582.316579606,94.757616216,546.256937678,194.591917656
27,2017,32099.215395557,11891.289289335,8330.203275837,13840.175604716,3884.49481006,3329.530541166,95.118638029,103.830851868,322.627552587,745.508398451,329.190966095,173.569040962,319.4811472710001,51.948450048,71.07570480300001,257.832587578,39.687366588,365.594001296,36.915315383,386.581059775,2323.691910558,257.803727595,1614.428524971,176.667566513,82.511321889,7080.963643462001,5455.321549781999,564.6651206529999,4890.656429129,1625.642093681,186.485654585,437.31188241,86.93122337300001,75.770601809,448.094680614,113.893624734,15243.325557583,9200.412567570002,2157.843838141,506.608077595,1111.960807627,228.233157639,665.3422563820001,284.086946432,260.188529911,433.9272591070001,392.270829943,32.744887479,1212.556800936,134.649518867,217.153056677,88.137228799,430.178791624,1920.255413851,602.0971360789999,90.927689663,551.461439703,199.052098408
28,2018,32805.028780625,11960.862502202,8410.330399372,14291.595767293,3823.498968326,3267.042801047,97.621767418,102.719565779,309.114047609,719.482755763,323.544095251,167.055094953,322.672251458,49.53692134400001,71.102987316,254.766010931,39.46376524999999,362.092327796,39.477419636,387.658682449,2463.984134535,269.429121113,1725.370394814,185.036594868,87.316467131,7187.02780137,5613.915612138,572.385959765,5041.529652373,1573.112189232,172.961904095,413.166508544,87.069385331,77.230070385,438.282550743,99.599168632,15700.119099012,9463.354087414,2247.624774401,546.78116462,1082.181560816,237.37708078,674.455471224,288.668024451,268.76465033,433.5680952440001,390.550456705,32.386075555,1249.867010272,143.494087424,217.801085565,88.348559146,442.0800021210001,1946.963671867,626.2614186769999,91.882192538,529.7730765,199.197959885
29,2019,32741.422649034,11633.646552424,8172.699103534,14562.449209888,3672.906812647,3135.738939242,97.991099035,99.70830752,301.787855616,672.9898463569999,317.607047938,170.447748551,302.079231277,47.617824296,74.78155324900001,239.620274728,39.316238385,345.64262473,40.020226979,376.830207533,2487.891083378,265.800627725,1754.472309167,176.611875049,89.43839726899999,7025.36333428,5489.646763502,569.331337133,4920.315426369,1535.716570778,170.737958029,410.04218399,86.42698852,83.30026615700001,433.313774634,86.55710659500001,15878.718229021,9729.009567287,2222.266131914,580.9638158680001,1045.024965391,243.586755477,649.9378206279999,280.30647825,271.384721277,440.020874122,395.436090552,32.765825963,1256.630332606,146.701298781,214.815542162,86.925019435,446.65901753,1979.891982981,637.76241672,94.42252219000001,534.333721083,199.268419483
