,year,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
10,2000,10014.894412017,5304.033297736,4028.866451823,2486.464656119,1852.737942285,1698.512306387,58.044059934,41.17119293,255.004359528,336.585061185,171.801396187,74.777942034,88.934468267,24.594746152,36.250825468,121.854988263,47.527424854,222.936529818,26.166240873,76.270118755,902.03264118,35.678691004,618.916380703,133.794223014,50.532262658,3120.214346833,2522.667104458,254.110066413,2268.557038044,597.5472423760001,61.557357588,187.867661391,25.169085042,25.814065696,150.81535291,51.156859248,2886.170795425,1129.737933898,440.924549211,155.670868765,519.872000648,48.463453878,190.093505622,84.84098166700001,72.287788824,128.846581863,108.147834548,17.299232794,480.4837466,26.994096214,40.111714302,87.06481786900001,109.018130916,371.716632401,122.991540723,18.716912247,97.85671966800001,31.52205551
11,2001,10103.053119665,5284.060704574,3990.58142135,2537.985814815,1886.656670752,1734.730930072,57.666165925,42.26157020500001,260.345718652,346.6857026,172.385023346,76.753846689,89.537505779,24.779178607,36.881053043,125.036418417,50.498023875,223.764432486,26.881062617,70.241133866,908.3068053810001,34.536139336,625.643745666,134.09629664,50.700773818,3080.072289462,2476.043586169,250.134904988,2225.908681181,604.028703293,58.556816143,191.153662566,24.698682122,25.707881496,155.270267987,52.947920738,2945.128438665,1168.350336785,448.039335436,159.201377591,511.356958097,50.774363556,193.373845839,88.92608878400002,74.39031145700001,126.723422343,105.79507132,17.317203147,491.822065545,27.048887798,45.784201698,90.757861733,104.798734362,401.332940826,133.453784495,19.975881356,100.448492544,40.201856751
12,2002,10321.368503792,5330.151249349,4014.071374432,2626.234800845,1889.15075559,1734.181374939,55.770405842,42.841455638,261.006824251,338.891289156,173.587918927,77.58753187200001,88.661462908,25.815289662,38.214966188,128.76188632,51.737453454,220.610412903,25.194353041,74.22707661400001,915.831698395,39.73477702500001,622.73661829,135.601620235,53.010755572,3122.424535731,2507.103836601,250.916333234,2256.187503367,615.32069913,56.911833947,196.270608629,25.568847911,25.204558834,156.962109189,57.43869405,3070.551540721,1245.965837895,462.258929612,164.986151241,512.871092594,52.390746662,201.470006232,93.34593516300001,82.265096068,130.528588542,109.455007414,17.320769055,499.423612807,28.933261553,46.964781432,93.52016901500001,99.00280641900001,418.220284513,138.041243162,20.542665616,111.251414952,39.875055635
13,2003,10685.101852145,5404.996127562001,4046.336576025,2849.094969777,1935.682193112,1772.943609188,58.202097166,44.719885461,267.605637112,337.23561346,181.89392456,80.46774591699999,90.891782942,25.110026623,39.799651206,133.194920765,50.590909573,224.465362321,27.312701459,78.67137463,948.834306492,43.103411883,644.9571522520001,140.779603491,51.375341956,3157.530902926,2525.676959463,264.160304369,2261.516655095,631.8539434630001,60.895124957,199.480393128,25.834598734,25.734207959,168.211935401,52.761706023,3284.681268563,1420.098410622,473.962863733,165.321460763,509.459079109,56.085351125,205.812448663,96.684308837,89.116327787,131.871966983,110.795040979,17.107230831,523.154948037,30.748926421,48.83885718,98.04154132400001,110.596150042,425.73115391,142.648405627,21.900417912,112.574510145,39.23045225000001
14,2004,11166.795695565,5506.677539413001,4120.901627094,3091.82470776,1955.345383868,1788.864816192,58.393851132,45.735115791,271.487719326,339.693513049,183.169890725,81.178143149,91.155874569,25.817758151,38.697632786,139.253996742,52.555090377,221.74595642,26.746762836,80.706456545,961.3919172310001,50.791514071,647.03440379,141.907853013,50.408530425,3238.825913801,2578.867346887,270.734084788,2308.1332621,659.958566914,66.522772109,210.66781585,27.512649329,25.99920321,171.264425702,56.279532905,3567.740755897,1614.692595522,499.144640477,176.125503242,525.937200687,60.412525135,212.169886748,100.488241071,96.30086837900001,134.073293183,112.676254619,17.566104776,551.117031917,31.131057787,53.428425263,99.471362071,120.28525212,455.356485373,155.567514437,23.368522132,119.803232966,41.852342477
15,2005,11470.50196573,5540.583492462,4137.144252379,3280.433521924,1965.24309883,1795.834019044,58.075175893,45.215249698,272.582882971,337.850977264,186.671614072,79.86718994700001,92.35221558600001,26.454788667,38.607704607,142.361608973,51.573035539,222.798466957,27.093868026,83.96098046200001,963.542720572,50.881560305,651.393566615,141.027065596,46.952028328,3273.834195758,2593.231196689,273.764416765,2319.466779924,680.602999069,66.922501599,216.015668584,28.365374204,27.084215857,180.637715836,54.57153295200001,3761.263317312,1782.018338726,514.751585728,178.84061175,524.009114426,65.967380625,213.95950458,102.272749616,99.01114468600001,134.655837421,113.479605921,17.151257457,567.698372786,32.418278769,61.5690348,105.241443688,116.25436227,486.851864301,172.65440624,26.281798707,122.549195117,44.49762665
16,2006,11813.013998294,5553.432955306001,4118.805622022001,3495.704741737,1984.720230363,1802.433086695,57.36884298700001,46.247282033,268.179735649,347.1814607270001,184.969410873,79.13078251,97.016180127,25.149127084,39.967781172,141.836131279,50.201906309,219.05287007,27.46558227,93.036863958,990.749293571,60.603785557,670.3206600770001,136.773902828,47.55846955000001,3287.373869235,2575.689248864,278.19825607,2297.490992794,711.684620371,72.806326537,223.572731501,29.524792572,28.466443692,183.615145917,62.029608973,3970.091899827,1949.925116048,532.968074678,182.908276612,523.73289584,66.321064828,217.805556958,104.630507241,100.961875476,139.424990993,118.170614752,17.154442625,586.682547251,34.714177823,65.08495906899999,105.910097429,118.918159433,519.903880607,180.450337599,25.663202588,135.795389923,46.196770366
17,2007,12131.909514649,5577.101563531,4123.52118917,3704.79530763,1960.321726654,1771.189336963,56.25164370500001,46.178684364,265.273990305,328.755703201,184.374075597,78.837971498,96.550150074,25.319822841,39.782568364,143.849333309,49.93241385,211.139522136,27.880056347,100.281727891,1002.521159222,66.08326942900001,672.237666873,139.217194779,47.35115303600001,3341.508955946,2615.509174349,277.473295897,2338.035878452,725.9997815969999,73.74953415399999,236.343190845,30.624153268,28.2899494,182.834161976,57.949129289,4178.761546676,2098.779689291,568.1642990510001,182.169766842,518.468723582,72.500924537,226.738955401,109.630921902,105.24049436,143.860239683,122.22448427,17.356316722,608.557362997,36.837510195,69.53921289,109.850066249,129.27046157,547.180340679,190.944410123,26.264794769,140.321914835,50.138203743
18,2008,12279.357394016,5502.900456479,4037.446006063,3831.873238214,1959.277502879,1764.533140594,57.970146011,45.279299702,266.452189603,331.679844073,181.945603981,78.202695482,98.05157468,24.668470853,39.654048518,139.097818064,49.552949095,208.814228549,32.458680947,98.391222492,1020.28767455,69.871646977,687.674102719,134.617218343,49.111710015,3300.753610307,2548.533896794,271.018572087,2277.515324707,752.2197135130001,77.661426,249.712731363,30.331696118,29.618156581,183.875436381,64.840795553,4269.417370981,2154.652332765,600.939220494,185.339513133,500.020243062,75.78317663,231.969514581,105.955188065,108.107645887,148.715286732,126.744895926,17.61226755,634.296852756,37.272425178,72.162098763,113.159362175,138.894850874,594.665800728,204.624795854,28.713692072,156.540793157,59.315551245
19,2009,12176.527642797,5259.879116962,3834.266315725,3992.128419341,1855.361447493,1662.962770346,55.606197455,42.545268135,254.928868796,310.5625990360001,169.885428728,77.125641215,94.352112703,24.340870544,34.929735796,127.886244538,45.386306966,196.370608107,31.591756889,98.238445779,940.549863111,63.458842115,646.676868601,114.385802055,43.720966562,3167.135516768,2425.413453645,260.237959237,2165.175494408,741.722063123,75.514501242,241.541123103,29.534273621,30.703935756,179.932377468,65.084157336,4466.154126492001,2296.742048574,666.183224329,198.439678006,477.105357412,71.868035911,234.326600309,103.024097676,107.707634276,149.146128319,127.131732922,17.769029952,645.675898751,40.76279775,73.84580478599999,111.082085574,140.985154735,617.0876832870001,204.23055607,31.409068401,166.643432011,63.534625856
